,community
48,2
52,2
56,2
60,2
64,2
66,2
72,2
74,2
78,2
80,2
84,2
188,2
194,2
346,2
274,2
288,2
290,2
292,2
294,2
296,2
298,2
300,2
304,2
306,2
308,2
310,2
314,2
316,2
322,2
326,2
328,2
332,2
334,2
336,2
338,2
344,2
276,2
266,2
196,2
264,2
200,2
202,2
204,2
208,2
210,2
212,2
214,2
216,2
220,2
222,2
224,2
228,2
230,2
234,2
238,2
246,2
248,2
256,2
258,2
260,2
262,2
660,2
664,2
243,2
27,2
1046,2
1048,2
1050,2
1052,2
2,2
3,2
15,2
19,2
21,2
25,2
29,2
670,2
31,2
33,2
35,2
41,2
43,2
45,2
53,2
59,2
61,2
63,2
1044,2
1042,2
1040,2
1038,2
982,2
984,2
988,2
990,2
992,2
994,2
996,2
998,2
1000,2
1002,2
1006,2
1008,2
1012,2
1018,2
1022,2
1024,2
1026,2
1030,2
1032,2
1034,2
1036,2
65,2
67,2
69,2
159,2
163,2
167,2
173,2
181,2
185,2
189,2
193,2
195,2
197,2
201,2
203,2
205,2
207,2
209,2
213,2
215,2
221,2
227,2
231,2
237,2
241,2
161,2
153,2
71,2
151,2
73,2
85,2
89,2
101,2
103,2
109,2
113,2
119,2
121,2
123,2
127,2
129,2
131,2
133,2
137,2
139,2
141,2
143,2
145,2
147,2
149,2
978,2
968,2
966,2
740,2
746,2
752,2
754,2
756,2
760,2
764,2
766,2
768,2
770,2
776,2
778,2
780,2
788,2
792,2
794,2
796,2
798,2
802,2
804,2
806,2
808,2
744,2
736,2
814,2
732,2
672,2
674,2
676,2
678,2
680,2
682,2
684,2
688,2
690,2
692,2
694,2
698,2
706,2
708,2
710,2
714,2
716,2
720,2
722,2
728,2
730,2
810,2
816,2
960,2
898,2
902,2
908,2
910,2
912,2
914,2
916,2
922,2
924,2
926,2
928,2
930,2
934,2
936,2
938,2
942,2
946,2
948,2
950,2
952,2
954,2
956,2
900,2
894,2
818,2
890,2
820,2
822,2
826,2
828,2
836,2
840,2
842,2
848,2
852,2
856,2
858,2
860,2
864,2
866,2
868,2
870,2
872,2
876,2
880,2
882,2
884,2
1053,2
frequency,"166     117
68      107
345      67
47       63
106      56
       ... 
876       2
880       2
882       2
884       2
1053      2
Name: community, Length: 1054, dtype: int64"
